"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
1,"Home Page",/,1,"Making government services easier to find",http://localhost/,Home,Home,Home,Home,Home,Home,/,/,/,/,/,/,http://localhost/es/,,"USAGov English"
1,"Home Page",/es/,1,"Información del Gobierno de Estados Unidos a su alcance",http://localhost/es/,"Página principal","Página principal","Página principal","Página principal","Página principal","Página principal",/es/,/es/,/es/,/es/,/es/,/es/,http://localhost/,,"USAGov en Español"
3,"Content Page",/elected-officials,2,"Find and contact elected officials",http://localhost/elected-officials,Home,"The U.S. and its government","Elected officials","Elected officials","Elected officials","Elected officials",/,/about-the-us,/elected-officials,/elected-officials,/elected-officials,/elected-officials,http://localhost/es/funcionarios-electos,,"USAGov English"
4,"Content Page",/elected-officials-results,3,"Your elected officials",http://localhost/elected-officials-results,Home,"The U.S. and its government","Elected officials","Learn about your elected officials","Learn about your elected officials","Learn about your elected officials",/,/about-the-us,/elected-officials,/elected-officials-results,/elected-officials-results,/elected-officials-results,None,,"USAGov English"
4,"Content Page",/elected-officials-email,4,"Email your elected official",http://localhost/elected-officials-email,Home,"The U.S. and its government","Elected officials","Email your elected official","Email your elected official","Email your elected official",/,/about-the-us,/elected-officials,/elected-officials-email,/elected-officials-email,/elected-officials-email,None,,"USAGov English"
2,"Navigation Cards Page",/laws-and-legal-issues,13,"Laws and legal issues",http://localhost/laws-and-legal-issues,Home,"Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues","Laws and legal issues",/,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,/laws-and-legal-issues,http://localhost/es/leyes-y-asuntos-legales,,"USAGov English"
3,"Navigation Page",/request-documents,14,"Get copies of vital records and ID cards",http://localhost/request-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards","Request copies of vital records and ID cards",/,/laws-and-legal-issues,/request-documents,/request-documents,/request-documents,/request-documents,http://localhost/es/certificado-del-registro,,"USAGov English"
4,"Content Page",/replace-vital-documents,15,"How to replace lost or stolen ID cards",http://localhost/replace-vital-documents,Home,"Laws and legal issues","Request copies of vital records and ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards","Replace lost or stolen ID cards",/,/laws-and-legal-issues,/request-documents,/replace-vital-documents,/replace-vital-documents,/replace-vital-documents,http://localhost/es/reemplazo-documentos-personales,,"USAGov English"
4,"Content Page",/marriage-certificate,16,"How to get a copy of a marriage certificate or a marriage license",http://localhost/marriage-certificate,Home,"Laws and legal issues","Request copies of vital records and ID cards","Marriage license or certificate","Marriage license or certificate","Marriage license or certificate",/,/laws-and-legal-issues,/request-documents,/marriage-certificate,/marriage-certificate,/marriage-certificate,http://localhost/es/certificado-matrimonio,,"USAGov English"
3,"Content Page",/legal-aid,18,"Find a lawyer for affordable legal aid",http://localhost/legal-aid,Home,"Laws and legal issues","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid","Find a lawyer and affordable legal aid",/,/laws-and-legal-issues,/legal-aid,/legal-aid,/legal-aid,/legal-aid,http://localhost/es/asistencia-legal-gratis,,"USAGov English"
4,"Content Page",/es/reportar-una-muerte,25,"Cómo reportar la muerte de alguien y cerrar sus cuentas y beneficios",http://localhost/es/reportar-una-muerte,"Página principal","Leyes y asuntos legales","Asuntos legales familiares","Cerrar cuentas y cancelar beneficios de alguien que murió","Cerrar cuentas y cancelar beneficios de alguien que murió","Cerrar cuentas y cancelar beneficios de alguien que murió",/es/,/es/leyes-y-asuntos-legales,/es/tramites-documentos-personales,/es/reportar-una-muerte,/es/reportar-una-muerte,/es/reportar-una-muerte,http://localhost/report-a-death,,"USAGov en Español"
4,"Content Page",/birth-certificate,26,"How to get a certified copy of a U.S. birth certificate",http://localhost/birth-certificate,Home,"Laws and legal issues","Request copies of vital records and ID cards","Birth certificate","Birth certificate","Birth certificate",/,/laws-and-legal-issues,/request-documents,/birth-certificate,/birth-certificate,/birth-certificate,http://localhost/es/certificado-nacimiento,,"USAGov English"
4,"Content Page",/divorce-decree,27,"How to get a copy of a divorce decree or certificate",http://localhost/divorce-decree,Home,"Laws and legal issues","Request copies of vital records and ID cards","Divorce decree or certificate","Divorce decree or certificate","Divorce decree or certificate",/,/laws-and-legal-issues,/request-documents,/divorce-decree,/divorce-decree,/divorce-decree,http://localhost/es/certificado-divorcio,,"USAGov English"
4,"Content Page",/child-support,28,"How to get help collecting child support",http://localhost/child-support,Home,"Laws and legal issues","Family legal issues","Get help collecting child support","Get help collecting child support","Get help collecting child support",/,/laws-and-legal-issues,/family-legal-issues,/child-support,/child-support,/child-support,http://localhost/es/manutencion-infantil,,"USAGov English"
4,"Content Page",/death-certificate,29,"How to get a certified copy of a death certificate",http://localhost/death-certificate,Home,"Laws and legal issues","Request copies of vital records and ID cards","Death certificate","Death certificate","Death certificate",/,/laws-and-legal-issues,/request-documents,/death-certificate,/death-certificate,/death-certificate,http://localhost/es/certificado-defuncion,,"USAGov English"
3,"Navigation Page",/family-legal-issues,30,"Family legal issues",http://localhost/family-legal-issues,Home,"Laws and legal issues","Family legal issues","Family legal issues","Family legal issues","Family legal issues",/,/laws-and-legal-issues,/family-legal-issues,/family-legal-issues,/family-legal-issues,/family-legal-issues,http://localhost/es/tramites-documentos-personales,,"USAGov English"
4,"Content Page",/report-a-death,31,"Agencies to notify when someone dies",http://localhost/report-a-death,Home,"Laws and legal issues","Family legal issues","Agencies to notify when someone dies","Agencies to notify when someone dies","Agencies to notify when someone dies",/,/laws-and-legal-issues,/family-legal-issues,/report-a-death,/report-a-death,/report-a-death,http://localhost/es/reportar-una-muerte,,"USAGov English"
2,"Navigation Cards Page",/money,34,"Money and credit",http://localhost/money,Home,"Money and credit","Money and credit","Money and credit","Money and credit","Money and credit",/,/money,/money,/money,/money,/money,http://localhost/es/dinero-credito,,"USAGov English"
3,"Navigation Page",/government-grants-and-loans,35,"Government grants and loans",http://localhost/government-grants-and-loans,Home,"Money and credit","Government grants and loans","Government grants and loans","Government grants and loans","Government grants and loans",/,/money,/government-grants-and-loans,/government-grants-and-loans,/government-grants-and-loans,/government-grants-and-loans,http://localhost/es/prestamos-y-subvenciones,,"USAGov English"
4,"Content Page",/no-free-money,36,"Avoid “free money” from the government scams",http://localhost/no-free-money,Home,"Money and credit","Government grants and loans","Avoid “free money” from the government scams","Avoid “free money” from the government scams","Avoid “free money” from the government scams",/,/money,/government-grants-and-loans,/no-free-money,/no-free-money,/no-free-money,http://localhost/es/gobierno-no-da-dinero-gratis,,"USAGov English"
4,"Content Page",/government-loan,38,"How to get a government loan or grant",http://localhost/government-loan,Home,"Money and credit","Government grants and loans","How to get a government loan or grant","How to get a government loan or grant","How to get a government loan or grant",/,/money,/government-grants-and-loans,/government-loan,/government-loan,/government-loan,http://localhost/es/prestamos-del-gobierno,,"USAGov English"
3,"Content Page",/unclaimed-money,39,"How to find unclaimed money from the government",http://localhost/unclaimed-money,Home,"Money and credit","Unclaimed money from the government","Unclaimed money from the government","Unclaimed money from the government","Unclaimed money from the government",/,/money,/unclaimed-money,/unclaimed-money,/unclaimed-money,/unclaimed-money,http://localhost/es/dinero-sin-reclamar,,"USAGov English"
4,"Content Page",/name-change,56,"How to change your name and what government agencies to notify",http://localhost/name-change,Home,"Laws and legal issues","Family legal issues","Agencies to notify of a name change","Agencies to notify of a name change","Agencies to notify of a name change",/,/laws-and-legal-issues,/family-legal-issues,/name-change,/name-change,/name-change,http://localhost/es/reportar-cambio-nombre,,"USAGov English"
2,"Navigation Cards Page",/about-the-us,57,"The U.S. and its government",http://localhost/about-the-us,Home,"The U.S. and its government","The U.S. and its government","The U.S. and its government","The U.S. and its government","The U.S. and its government",/,/about-the-us,/about-the-us,/about-the-us,/about-the-us,/about-the-us,http://localhost/es/acerca-de-estados-unidos,,"USAGov English"
2,"Navigation Cards Page",/scams-and-fraud,61,"Scams and fraud",http://localhost/scams-and-fraud,Home,"Scams and fraud","Scams and fraud","Scams and fraud","Scams and fraud","Scams and fraud",/,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,/scams-and-fraud,http://localhost/es/estafas-y-fraudes,,"USAGov English"
2,"Navigation Cards Page",/about,62,"About USAGov",http://localhost/about,Home,"About USAGov","About USAGov","About USAGov","About USAGov","About USAGov",/,/about,/about,/about,/about,/about,http://localhost/es/acerca-de-usagov-en-espanol,,"USAGov English"
4,"Content Page",/food-assistance,83,"Get food assistance with the WIC program",http://localhost/food-assistance,Home,"Government benefits","Food assistance","Food assistance with the WIC program","Food assistance with the WIC program","Food assistance with the WIC program",/,/benefits,/food-help,/food-assistance,/food-assistance,/food-assistance,http://localhost/es/wic-asistencia-mujeres-ninos-bebes,1,"USAGov English","Children and families; Food"
4,"Content Page",/welfare-benefits,84,"Welfare benefits or Temporary Assistance for Needy Families (TANF)",http://localhost/welfare-benefits,Home,"Government benefits","Welfare and financial assistance","Welfare (TANF)","Welfare (TANF)","Welfare (TANF)",/,/benefits,/welfare-and-financial-assistance,/welfare-benefits,/welfare-benefits,/welfare-benefits,http://localhost/es/tanf-asistencia-temporal,1,"USAGov English","Children and families; Welfare and cash assistance"
4,"Content Page",/food-stamps,87,"How to apply for food stamps (SNAP benefits) and check your balance",http://localhost/food-stamps,Home,"Government benefits","Food assistance","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)","Food stamps (SNAP benefits)",/,/benefits,/food-help,/food-stamps,/food-stamps,/food-stamps,http://localhost/es/solicitar-cupones-alimentos-snap,1,"USAGov English","Children and families; Food"
2,"Navigation Cards Page",/health,88,Health,http://localhost/health,Home,Health,Health,Health,Health,Health,/,/health,/health,/health,/health,/health,http://localhost/es/salud,,"USAGov English"
3,"Navigation Page",/health-insurance,89,"Health insurance",http://localhost/health-insurance,Home,Health,"Health insurance","Health insurance","Health insurance","Health insurance",/,/health,/health-insurance,/health-insurance,/health-insurance,/health-insurance,http://localhost/es/seguros-medicos,,"USAGov English"
4,"Content Page",/cobra-health-insurance,90,"Learn about COBRA insurance and how to get coverage",http://localhost/cobra-health-insurance,Home,Health,"Health insurance","COBRA insurance","COBRA insurance","COBRA insurance",/,/health,/health-insurance,/cobra-health-insurance,/cobra-health-insurance,/cobra-health-insurance,http://localhost/es/continuacion-seguro-medico-cobra,1,"USAGov English","Children and families; Death; Health; Jobs and unemployment"
4,"Content Page",/health-insurance-marketplace,91,"How to get insurance through the ACA Health Insurance Marketplace",http://localhost/health-insurance-marketplace,Home,Health,"Health insurance","Health Insurance Marketplace","Health Insurance Marketplace","Health Insurance Marketplace",/,/health,/health-insurance,/health-insurance-marketplace,/health-insurance-marketplace,/health-insurance-marketplace,http://localhost/es/salud-mercado-seguros-medicos-aca,1,"USAGov English","Children and families; Health"
4,"Content Page",/medicaid-chip-insurance,92,"How to apply for Medicaid and CHIP",http://localhost/medicaid-chip-insurance,Home,Health,"Health insurance","Medicaid and CHIP","Medicaid and CHIP","Medicaid and CHIP",/,/health,/health-insurance,/medicaid-chip-insurance,/medicaid-chip-insurance,/medicaid-chip-insurance,http://localhost/es/seguros-medicos-medicaid-chip,1,"USAGov English","Children and families; Disabilities; Health"
4,"Content Page",/medicare,93,"How and when to apply for Medicare",http://localhost/medicare,Home,Health,"Health insurance",Medicare,Medicare,Medicare,/,/health,/health-insurance,/medicare,/medicare,/medicare,http://localhost/es/seguros-medicos-medicare,1,"USAGov English","Disabilities; Health; Retirement and seniors"
